iter	Passed	Remaining
947	1934	106
948	1936	104
949	1938	102
950	1940	99
951	1942	97
952	1944	95
953	1946	93
954	1948	91
955	1950	89
956	1953	87
957	1954	85
958	1956	83
959	1958	81
960	1960	79
961	1962	77
962	1964	75
963	1967	73
964	1969	71
965	1971	69
966	1973	67
967	1975	65
968	1978	63
969	1980	61
970	1982	59
971	1984	57
972	1986	55
973	1988	53
974	1990	51
975	1992	48
976	1994	46
977	1996	44
978	1997	42
979	1999	40
980	2001	38
981	2003	36
982	2005	34
983	2008	32
984	2010	30
985	2012	28
986	2014	26
987	2016	24
988	2018	22
989	2020	20
990	2021	18
991	2024	16
992	2025	14
993	2027	12
994	2029	10
995	2031	8
996	2033	6
997	2035	4
998	2037	2
999	2039	0
